datetime,close
2020-06-05,136.85001
2020-06-08,140.89
2020-06-09,137.00999
2020-06-10,134.63
2020-06-11,122.48
2020-06-12,122.1
2020-06-15,125.6
2020-06-16,126.32
2020-06-17,126.24
2020-06-18,126.63
2020-06-19,127.09
2020-06-22,125.78
2020-06-23,127.53
2020-06-24,123.49
2020-06-25,124.3
2020-06-26,122.8
2020-06-29,127.15
2020-06-30,129.53
2020-07-01,127.04
2020-07-02,129.17999
2020-07-06,133.47
2020-07-07,133.66
2020-07-08,136.0
2020-07-09,133.17
2020-07-10,135.64
2020-07-13,136.46001
2020-07-14,138.98
2020-07-15,143.14
2020-07-16,144.31
2020-07-17,142.56
2020-07-20,143.06
2020-07-21,143.75999
2020-07-22,146.89
2020-07-23,158.63
2020-07-24,157.95
2020-07-27,165.72
2020-07-28,162.64
2020-07-29,162.57001
2020-07-30,163.00999
2020-07-31,163.12
2020-08-03,164.61
2020-08-04,167.49001
2020-08-05,173.75
2020-08-06,171.88
2020-08-07,173.2
2020-08-10,176.97
2020-08-11,176.33
2020-08-12,178.58
2020-08-13,178.46001
2020-08-14,180.92999
2020-08-17,181.94
2020-08-18,182.0
2020-08-19,184.37
2020-08-20,182.92
2020-08-21,180.78
2020-08-24,181.38
2020-08-25,180.53
2020-08-26,179.94
2020-08-27,177.83
2020-08-28,178.88
2020-08-31,177.72
2020-09-01,178.27
2020-09-02,179.46001
2020-09-03,171.56
2020-09-04,168.0
2020-09-08,168.32001
2020-09-09,171.82001
2020-09-10,169.46001
2020-09-11,172.8
2020-09-14,177.8
2020-09-15,178.37
2020-09-16,179.57001
2020-09-17,176.74001
2020-09-18,174.27
2020-09-21,177.75
2020-09-22,179.69
2020-09-23,175.74001
2020-09-24,175.46001
2020-09-25,178.11
2020-09-28,185.0
2020-09-29,180.75
2020-09-30,183.89
2020-10-01,183.19
2020-10-02,184.21001
2020-10-05,192.99001
2020-10-06,190.62
2020-10-07,196.14999
2020-10-08,200.19
2020-10-09,201.39999
2020-10-12,200.91
2020-10-13,201.37
2020-10-14,203.42999
2020-10-15,202.0
2020-10-16,201.57001
2020-10-19,198.88
2020-10-20,199.92999
2020-10-21,196.83
2020-10-22,193.8
2020-10-23,198.11
2020-10-26,194.06
2020-10-27,195.82001
2020-10-28,188.44
2020-10-29,186.38
2020-10-30,184.96001
2020-11-02,192.73
2020-11-03,197.77
2020-11-04,194.39999
2020-11-05,198.75999
2020-11-06,201.64
2020-11-09,180.69
2020-11-10,183.05
2020-11-11,185.13
2020-11-12,183.94
2020-11-13,188.73
2020-11-16,188.60001
2020-11-17,191.07001
2020-11-18,194.17
2020-11-19,192.56
2020-11-20,192.91
2020-11-23,198.67999
2020-11-24,200.22
2020-11-25,200.12
2020-11-27,200.96001
2020-11-30,194.61
2020-12-01,193.8
2020-12-02,183.78
2020-12-03,186.89
2020-12-04,184.07001
2020-12-07,188.85001
2020-12-08,185.14999
2020-12-09,185.03999
2020-12-10,182.41
2020-12-11,183.92999
2020-12-14,184.03
2020-12-15,188.63
2020-12-16,187.09
2020-12-17,190.75
2020-12-18,188.37
2020-12-21,186.62
2020-12-22,187.78999
2020-12-23,189.55
2020-12-24,193.2
2020-12-28,185.19
2020-12-29,183.2
2020-12-30,184.39
2020-12-31,180.49001
2021-01-04,176.89999
2021-01-05,178.73
2021-01-06,178.62
2021-01-07,182.47
2021-01-08,179.53999
2021-01-11,180.17999
2021-01-12,184.28
2021-01-13,191.97
2021-01-14,192.87
2021-01-15,194.53999
2021-01-19,198.71001
2021-01-20,195.71001
2021-01-21,195.05
2021-01-22,198.21001
2021-01-25,203.02
2021-01-26,206.42
2021-01-27,212.39999
2021-01-28,194.60001
2021-01-29,185.09
2021-02-01,186.56
2021-02-02,190.11
2021-02-03,191.10001
2021-02-04,187.89999
2021-02-05,193.57001
2021-02-08,200.42999
2021-02-09,199.3
2021-02-10,197.63
2021-02-11,196.60001
2021-02-12,199.92999
2021-02-16,196.21001
2021-02-17,193.97
2021-02-18,190.92
2021-02-19,195.34
2021-02-22,192.69
2021-02-23,192.81
2021-02-24,193.52
2021-02-25,188.12
2021-02-26,190.08
2021-03-01,197.7
2021-03-02,194.02
2021-03-03,190.98
2021-03-04,186.72
2021-03-05,195.25
2021-03-08,201.99001
2021-03-09,198.84
2021-03-10,204.69
2021-03-11,205.60001
2021-03-12,207.84
2021-03-15,212.92
2021-03-16,212.17
2021-03-17,216.28
2021-03-18,215.23
2021-03-19,218.46001
2021-03-22,221.55
2021-03-23,213.78999
2021-03-24,211.06
2021-03-25,216.12
2021-03-26,223.09
2021-03-29,216.85001
2021-03-30,220.24001
2021-03-31,220.35001
2021-04-01,225.3
2021-04-05,233.50999
2021-04-06,234.37
2021-04-07,230.37
2021-04-08,233.95
2021-04-09,236.99001
2021-04-12,237.52
2021-04-13,233.7
2021-04-14,231.97
2021-04-15,230.89
2021-04-16,234.81
2021-04-19,235.27
2021-04-20,236.45
2021-04-21,234.7
2021-04-22,233.19
2021-04-23,238.94
2021-04-26,236.12
2021-04-27,239.36
2021-04-28,235.45
2021-04-29,238.32001
2021-04-30,236.45
2021-05-03,240.95
2021-05-04,243.64
2021-05-05,246.85001
2021-05-06,250.22
2021-05-07,252.95
2021-05-10,251.8
2021-05-11,246.21001
2021-05-12,240.0
2021-05-13,246.2
2021-05-14,246.72
2021-05-17,245.52
2021-05-18,240.50999
2021-05-19,238.92999
2021-05-20,237.0
2021-05-21,236.86
2021-05-24,235.0
2021-05-25,236.5
2021-05-26,237.45
2021-05-27,241.36
2021-05-28,237.09
2021-06-01,237.83
2021-06-02,236.78
2021-06-03,233.96001
2021-06-04,233.53999
2021-06-07,235.78999
2021-06-08,232.99001
2021-06-09,229.89999
2021-06-10,222.64999
2021-06-11,225.92999
2021-06-14,221.10001
2021-06-15,221.11
2021-06-16,214.98
2021-06-17,211.25999
2021-06-18,210.58
2021-06-21,214.52
2021-06-22,215.60001
2021-06-23,214.5
2021-06-24,214.75
2021-06-25,216.07001
2021-06-28,215.64
2021-06-29,217.75
2021-06-30,218.02
2021-07-01,219.53999
2021-07-02,222.49001
2021-07-06,217.25
2021-07-07,222.28
2021-07-08,219.84
2021-07-09,225.02
2021-07-12,224.99001
2021-07-13,218.74001
2021-07-14,221.33
2021-07-15,222.95
2021-07-16,219.86
2021-07-19,212.39
2021-07-20,213.17999
2021-07-21,217.25
2021-07-22,214.67999
2021-07-23,219.52
2021-07-26,220.17
2021-07-27,219.42999
2021-07-28,219.89
2021-07-29,224.49001
2021-07-30,221.53999
2021-08-02,221.56
2021-08-03,224.95
2021-08-04,220.72
2021-08-05,221.82001
2021-08-06,220.55
2021-08-09,220.7
2021-08-10,223.06
2021-08-11,229.53999
2021-08-12,230.78999
2021-08-13,232.5
2021-08-16,232.86
2021-08-17,223.87
2021-08-18,220.28
2021-08-19,219.35001
2021-08-20,221.2
2021-08-23,220.23
2021-08-24,221.12
2021-08-25,223.87
2021-08-26,221.10001
2021-08-27,225.94
2021-08-30,223.92
2021-08-31,221.53
2021-09-01,223.72
2021-09-02,226.42999
2021-09-03,225.87
2021-09-07,217.45
2021-09-08,216.13
2021-09-09,217.24001
2021-09-10,215.74001
2021-09-13,218.67
2021-09-14,216.24001
2021-09-15,217.27
2021-09-16,212.69
2021-09-17,210.63
2021-09-20,209.05
2021-09-21,205.64999
2021-09-22,207.37
2021-09-23,209.02
2021-09-24,210.16
2021-09-27,212.13
2021-09-28,210.50999
2021-09-29,211.63
2021-09-30,203.86
2021-10-01,205.21001
2021-10-04,205.33
2021-10-05,203.95
2021-10-06,201.03
2021-10-07,204.94
2021-10-08,198.77
2021-10-11,198.44
2021-10-12,199.67999
2021-10-13,198.25
2021-10-14,204.69
2021-10-15,206.72
2021-10-18,206.63
2021-10-19,205.73
2021-10-20,209.24001
2021-10-21,207.59
2021-10-22,213.44
2021-10-25,208.37
2021-10-26,206.0
2021-10-27,202.10001
2021-10-28,210.17999
2021-10-29,210.83
2021-11-01,214.46001
2021-11-02,215.53999
2021-11-03,218.07001
2021-11-04,218.17999
2021-11-05,218.10001
2021-11-08,218.60001
2021-11-09,221.06
2021-11-10,221.11
2021-11-11,225.0
2021-11-12,232.17
