date,Ansys,ansys innovation courses,ansys 2021,ansys full form
2020-11-15,88,0,13,32
2020-11-22,77,0,0,0
2020-11-29,74,44,13,0
2020-12-06,82,0,0,63
2020-12-13,78,0,0,0
2020-12-20,56,0,14,0
2020-12-27,47,0,0,69
2021-01-03,65,0,13,32
2021-01-10,83,0,65,32
2021-01-17,77,0,26,0
2021-01-24,87,88,26,0
2021-01-31,87,0,13,0
2021-02-07,77,0,26,32
2021-02-14,81,0,39,0
2021-02-21,85,0,52,64
2021-02-28,93,0,39,64
2021-03-07,93,0,0,0
2021-03-14,81,0,36,0
2021-03-21,85,0,39,0
2021-03-28,81,0,14,100
2021-04-04,80,0,39,0
2021-04-11,76,0,91,0
2021-04-18,92,0,52,0
2021-04-25,75,44,26,63
2021-05-02,76,0,39,32
2021-05-09,74,0,27,99
2021-05-16,88,0,78,0
2021-05-23,77,45,65,32
2021-05-30,71,0,13,0
2021-06-06,83,0,53,0
2021-06-13,83,0,0,64
2021-06-20,72,0,13,33
2021-06-27,70,0,67,0
2021-07-04,83,0,54,33
2021-07-11,74,0,54,0
2021-07-18,70,0,55,0
2021-07-25,60,0,40,0
2021-08-01,65,0,41,33
2021-08-08,56,0,27,34
2021-08-15,64,0,40,0
2021-08-22,67,0,57,0
2021-08-29,79,0,14,0
2021-09-05,76,0,15,0
2021-09-12,85,49,43,0
2021-09-19,69,97,56,35
2021-09-26,73,0,84,69
2021-10-03,77,0,14,35
2021-10-10,89,100,29,0
2021-10-17,82,0,100,0
2021-10-24,91,0,57,35
2021-10-31,78,0,43,0
2021-11-07,100,0,59,0
