date,Anthem,super bowl 2021 national anthem,super bowl 2021,kisan anthem
2020-11-15,35,0,0,0
2020-11-22,34,0,1,0
2020-11-29,36,0,1,0
2020-12-06,37,0,1,49
2020-12-13,37,0,1,70
2020-12-20,33,0,1,74
2020-12-27,39,0,2,44
2021-01-03,39,0,4,77
2021-01-10,41,1,6,85
2021-01-17,70,2,8,69
2021-01-24,53,6,22,79
2021-01-31,47,13,32,38
2021-02-07,100,100,100,35
2021-02-14,39,1,1,17
2021-02-21,41,0,1,15
2021-02-28,43,0,1,13
2021-03-07,39,0,0,100
2021-03-14,34,0,0,26
2021-03-21,36,0,0,12
2021-03-28,35,0,0,9
2021-04-04,37,0,0,8
2021-04-11,34,0,0,10
2021-04-18,34,0,0,3
2021-04-25,34,0,0,5
2021-05-02,34,0,0,3
2021-05-09,34,0,0,5
2021-05-16,33,0,0,3
2021-05-23,33,0,0,10
2021-05-30,35,0,0,5
2021-06-06,36,0,0,5
2021-06-13,45,0,0,2
2021-06-20,41,0,0,2
2021-06-27,56,0,0,3
2021-07-04,53,0,0,2
2021-07-11,52,0,0,3
2021-07-18,46,0,0,2
2021-07-25,46,0,0,10
2021-08-01,47,0,0,2
2021-08-08,59,0,0,2
2021-08-15,42,0,0,3
2021-08-22,35,0,0,2
2021-08-29,35,0,0,4
2021-09-05,40,0,0,2
2021-09-12,40,0,0,2
2021-09-19,36,0,0,5
2021-09-26,37,0,1,7
2021-10-03,35,0,0,9
2021-10-10,36,0,0,6
2021-10-17,36,0,0,0
2021-10-24,38,0,0,2
2021-10-31,39,0,0,6
2021-11-07,40,0,0,3
